step,time,rmse_forecast,rmse_analysis,rmse_innov
1,0.1,0.0004890562981909643,0.0008277692953836361,0.0011879703668371097
2,0.2,0.0003749174909135543,0.0003453442081672999,0.0008363354206233865
3,0.30000000000000004,0.0001257009099590311,0.0001446411015541811,0.0013513828573759848
4,0.4,7.671636565408164e-05,7.500328427695107e-05,0.0009712276976176859
5,0.5,2.703598378979607e-05,2.4827797892727235e-05,0.000814493025721825
6,0.6000000000000001,1.1077951044417021e-05,1.0806202978258724e-05,0.0009004338307014373
7,0.7000000000000001,6.537733029782461e-06,6.588231836997683e-06,0.0008774567023385635
8,0.8,2.9785478019226993e-06,2.9802309001594427e-06,0.0013173770200318883
9,0.9,1.447656048556107e-06,1.4463004148288588e-06,0.0007676484325633468
10,1.0,8.060246916967411e-07,8.095240666683604e-07,0.0011307100869539207
