step,time,rmse_forecast,rmse_analysis,rmse_innov
1,0.001,0.00014653457288152084,0.00015879549927564704,0.000718659964097334
2,0.002,0.0001359808158086786,0.00013436534623715004,0.0012801632456049857
3,0.003,0.00012110974276461859,0.00010787539678339747,0.0012746615571990786
4,0.004,9.962041989363853e-05,0.00010435850755578114,0.0007258200122428572
5,0.005,9.842424769990362e-05,0.00010922765828182554,0.0012484505535379532
6,0.006,0.00010469095370307668,0.00010573419597136055,0.00041972231778360225
7,0.007,0.00010216159263686531,0.00010581512748023517,0.0007198495226373753
8,0.008,0.00010304218579006757,0.00014139228846961793,0.0018014736918631781
9,0.009000000000000001,0.0001381177693319332,0.00015028078316597595,0.000547813546273109
10,0.01,0.00014773507042589102,0.00014885270662161242,0.0010447549191875069
